egid;xkoordinaten;ykoordinaten;energietraeger;nutzungsart;wirtschaftseinheit
2132225;;;Fernwärme;Verwaltungsvermögen;2112-01
2132229;;;Fernwärme;Finanzvermögen;3104-02
3007756;;;Erdgas;Verwaltungsvermögen;1107-05
3008915;;;Fernwärme;Finanzvermögen;3104-01
3013857;;;Fernwärme;Verwaltungsvermögen;3101-01
3013867;;;Fernwärme;Anmietobjekte;4142-03
340477;;;;Verwaltungsvermögen;3903-01
362217;;;Fernwärme;Verwaltungsvermögen;3208-01
367741;;;Erdgas;Verwaltungsvermögen;2102-73
367757;;;Erdgas;Verwaltungsvermögen;2102-78
369161;;;Pellet;Verwaltungsvermögen;1208-11
369162;;;Pellet;Verwaltungsvermögen;1208-01
369164;;;Heizöl;Verwaltungsvermögen;1208-06
376404;;;;Verwaltungsvermögen;3708-01
376868;;;Erdgas;Verwaltungsvermögen;1710-02
376872;;;Erdwärme;Verwaltungsvermögen;1710-01
377167;;;Heizöl;Verwaltungsvermögen;1711-01
9023765;;;Heizöl;Verwaltungsvermögen;1712-01
