egid;xkoordinaten;ykoordinaten;wirtschaftseinheit;vermoegensart;aktuelle_nutzung;prio
190097647;;;GE 005/3607/1;VV;Sicherheit;A
190106028;;;GE 005/2102/5;VV;Gesundheit;
190124583;;;GE 005/3406/24;VV;Sicherheit;A
190194124;;;GE 005/1711/3;VV;Bildung - BBZ;A
190203393;;;GE 005/3521/1;VV;Sonstiges;A
190504800;;;GE 005/1716/1;VV;Bildung - FHNW;A
190602788;;;GE 005/4718/1;AM;Verwaltung;
190663149;;;GE 005/1102/1;VV;Bildung - FHNW;A
191050750;;;GE 005/3605/3;VV;Sonstiges;A
191220192;;;GE 005/1107/4;VV;Bildung - BBZ;A
191335490;;;GE 005/1107/6;VV;Bildung - BBZ;A
191351497;;;GE 005/3605/2;VV;Sonstiges;A
191411312;;;GE 005/1711/2;VV;Bildung - BBZ;A
191480672;;;GE 005/2110/6;VV;Gesundheit;
191533794;;;GE 005/1717/2;VV;Bildung - BBZ;A
191567732;;;GE 005/3906/1;VV;Sonstiges;A
191610655;;;GE 005/1208/24;VV;Sonstiges;A
191610656;;;GE 005/1208/23;VV;Sonstiges;A
191610657;;;GE 005/1208/22;VV;Sonstiges;A
191666813;;;GE 005/2705/4;FV;Sonstiges;
191893715;;;GE 005/3208/3;VV;Verwaltung;A
191957044;;;GE 005/3714/2;VV;Sonstiges;A
191967618;;;GE 005/3304/1;FV;Sonstiges;
502129133;;;GE 005/3603/1;VV;Sonstiges;B
502131213;;;GE 005/3514/1;VV;Sonstiges;C
502181591;;;GE 005/2714/7;FV;Sonstiges;
502181596;;;GE 005/2714/9;FV;Sonstiges;
502181599;;;GE 005/2714/11;FV;Sonstiges;
502181600;;;GE 005/2714/8;FV;Sonstiges;
502181601;;;GE 005/2714/10;FV;Sonstiges;
502251016;;;GE 005/4508/1;AM;;
502269740;;;GE 005/3804/4;SV;Stiftung;B
502269741;;;GE 005/3804/3;SV;Stiftung;B
502269742;;;GE 005/3804/2;SV;Stiftung;B
502269744;;;GE 005/3804/8;SV;Stiftung;B
502271380;;;GE 005/3210/4;FV;Sonstiges;
502271381;;;GE 005/3210/3;FV;Sonstiges;
502271382;;;GE 005/3210/2;FV;Sonstiges;
502321524;;;GE 005/3420/1;VV;Sicherheit;A
502322208;;;GE 005/3420/3;VV;;
502339224;;;GE 005/3002/1;VV;Sonstiges;B
502350618;;;GE 005/3302/1;VV;Sonstiges;B
502365635;;;GE 005/4411/1;AM;;
504133900;;;GE 005/3911/1;FV;Sonstiges;A
504134594;;;GE 005/3008/2;VV;Sonstiges;A
504146362;;;GE 005/3214/3;FV;Sonstiges;B
504146364;;;GE 005/3214/4;FV;Sonstiges;B
504150246;;;GE 005/3406/29;VV;Sicherheit;A
504150247;;;GE 005/3406/28;VV;Sicherheit;A
504150248;;;GE 005/3406/27;VV;Sicherheit;A
504150250;;;GE 005/3406/17;VV;Sicherheit;A
504150251;;;GE 005/3406/1;VV;Sicherheit;A
504150253;;;GE 005/3406/4;VV;Sicherheit;A
504150339;;;GE 005/3406/32;VV;Sicherheit;A
504154439;;;GE 005/3005/2;VV;Sicherheit;A
504154440;;;GE 005/3005/1;VV;Verwaltung;A
504154682;;;GE 005/3004/1;VV;Sicherheit;A
504154903;;;GE 005/2911/11;VV;;B
504154980;;;GE 005/2911/12;VV;Sonstiges;B
504155109;;;GE 005/3914/1;VV;Sonstiges;A
504155204;;;GE 005/3903/2;VV;Sicherheit;A
504155275;;;GE 005/3901/1;VV;Sicherheit;
504155276;;;GE 005/3904/2;VV;Verwaltung;A
504168317;;;GE 005/4404/1;AM;Sonstiges;
;2563816;1224222.1;GE 005/3007/3;FV;Sonstiges;B
;2596707.1;1226701.1;GE 005/1215/2;VV;Bildung - HPSZ;A
;2597100;1226016;GE 005/1213/3;VV;;
;2597114;1226020;GE 005/1213/2;VV;;A
;2597628.5;1227368.5;GE 005/2213/5;VV;Sonstiges;A
;2599527.1;1253139.4;GE 005/3009/1;VV;Sonstiges;B
;2599639.6;1252992.7;GE 005/3009/2;VV;Sonstiges;B
;2602058;1234640;GE 005/3517/1;VV;Sonstiges;B
;2602121;1234836;GE 005/3516/1;FV;Sonstiges;C
;2604941;1230544.9;GE 005/5245/1;VV;;B
;2605049;1228782;GE 005/3208/4;VV;Verwaltung;A
;2605951.2;1229670.5;GE 005/2102/7;VV;Sonstiges;
;2605978.7;1229573.8;GE 005/2102/53;VV;Gesundheit;
;2605984.5;1229877.8;GE 005/2102/74;VV;Gesundheit;
;2605987.3;1229678.2;GE 005/2102/6;VV;Gesundheit;
;2606050.2;1229518.3;GE 005/2102/11;VV;Gesundheit;
;2606060.3;1229564.9;GE 005/2102/52;VV;Gesundheit;
;2606098.7;1229599.8;GE 005/2102/54;VV;Gesundheit;
;2606102.1;1229557.9;GE 005/2102/56;VV;Gesundheit;
;2606113.2;1229591.1;GE 005/2102/51;VV;Gesundheit;
;2606117.8;1229574.4;GE 005/2102/50;VV;Gesundheit;
;2606124.4;1229572.8;GE 005/2102/9;VV;Gesundheit;
;2606176;1229399;GE 005/2102/81;FV;Sonstiges;
;2606185.7;1229954.8;GE 005/2102/79;VV;Sonstiges;
;2606191.1;1229637.4;GE 005/2102/8;VV;;
;2606398.4;1229082.1;GE 005/2113/2;VV;Sonstiges;
;2606457;1227419;GE 005/3144/1;VV;Sonstiges;
;2606514.1;1229647.3;GE 005/1110/2;VV;;A
;2606554.1;1229762.5;GE 005/2102/55;VV;Gesundheit;
;2606568.3;1229650.1;GE 005/1110/3;VV;Bildung - HPSZ;A
;2606773;1228788;GE 005/3143/1;VV;Sonstiges;A
;2607019.7;1229760.9;GE 005/3112/1;FV;Sonstiges;A
;2607155.3;1228868.3;GE 005/3104/3;FV;Sonstiges;
;2607177.6;1228961.4;GE 005/3104/6;FV;Sonstiges;
;2607207;1228883;GE 005/3104/5;FV;Sonstiges;
;2607390;1229236;GE 005/1101/5;VV;Bildung - Kantonsschule;A
;2607405.9;1228690.2;GE 005/3132/1;VV;Sonstiges;B
;2607408.1;1228878.8;GE 005/4142/2;AM;Verwaltung;
;2607423.2;1227621.8;GE 005/2110/33;VV;Gesundheit;
;2607425;1229258;GE 005/1101/3;VV;Bildung - Kantonsschule;A
;2607447.2;1228623.3;GE 005/3136/1;VV;Verwaltung;A
