ID_Quelle,Flurname,QuellenName,X_Koordinate_LV03,Y_Koordinate_LV03,Hoehe,Datum_CSV,Austrittsform,Quellgroesse,Schuettungsverhalten,Quellschuettung,Vernetzung,Austrittsanzahl,Bemerkungen,Fassung,Wasserentnahme,Trittschaeden,Sommerbeschattung,Substrate,RevitObjekt,Gesamtbewertung_CSV,BioErhebung_CSV
SO_TH_0001,Subigerberg,Subigerberg 2,599900,233348,994,11/05/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,2,[SO_Thal_016] Austritt unter Baum nach 2.5m fliesst Quelle auf eine Weide. Dort ev. Einzäunen. Gut für Fauna. Gammaridae. Köcherfliegen. Strudelwürmer. Steinfliegen,keine,keine,gering,gering,"Steine,Kies,Sand,Feinmaterial,Totholz,Pflanzen,Org. Schlamm",JA,bedingt_naturnah,
SO_TH_0002,Subigerberg,Subigerberg 1,600084,233602,946,11/05/2022,Sickerquelle,klein,periodisch,<1,Einzelquelle,1,[SO_Thal_015] Quellsumpf mit wenig Abfluss. Quelle fliesst unterirdisch ab ev. Einzäunen,keine,keine,gering,unbeschattet,"Feinmaterial,Wurzeln,Pflanzen,Org. Schlamm",JA,bedingt_naturnah,
SO_TH_0004,Cholgraben,Cholgraben 1,600433,233244,1005,11/05/2022,Fliessquelle,mittel,ganzjährig,1-10,Einzelquelle,3,[SO_Thal_013] Quelle liegt in Graben. Graben witer oben trocken mit Wegunterführung. Graben wird/wurde zum entsorgen von Bauschutt verwendet. viele Köcherfliegen,keine,keine,keine,nicht definiert,"Fels,Steine,Kies,Sand,Totholz,Falllaub",NEIN,bedingt_naturnah,
SO_TH_0006,Schattenberg,Schattenberg 4,609963,237238,503,25/05/2022,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,1,[SO_Thal_011] Köcherfliegen. Flohkrebse. Muscheln. Steinfliegen. Quelle fliesst direkt in Bach,keine,keine,keine,nicht definiert,"Fels,Steine,Kies,Moospolster,Totholz,Falllaub",NEIN,naturnah,
SO_TH_0007,Schattenberg,Schattenberg 3,610150,237345,545,25/05/2022,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,3,[SO_Thal_010] fliesst direkt in Bach,keine,keine,keine,nicht definiert,"Fels,Steine,Kies,Sand,Moospolster,Totholz",NEIN,naturnah,
SO_TH_0011,Steinacker,Steinacker 1,613639,240400,576,11/05/2022,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_024] Kalksinterquelle. Quelle fliesst direkt in Bach. Fauna: Libellenlarve. Flohkrebse,keine,keine,keine,nicht definiert,"Kies,Moospolster,Totholz,Falllaub,Org. Schlamm,Kalksinter",NEIN,naturnah,
SO_TH_0016,Mettlenmatt,Mettlenmatt 2,616966,244443,712,24/08/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_021] Quelle fliesst nach ca. 4m in Schacht,keine,keine,keine,unbeschattet,"Kies,Sand,Feinmaterial,Moospolster,Org. Schlamm,Kalksinter",NEIN,geschaedigt,
SO_TH_0019,Schliff Laupersdorf,Schliff 1,617976,241975,709,25/05/2022,Sickerquelle,klein,periodisch,<1,Q-komplex,1,[SO_Thal_007] Quelle fliesst parallel zu Quellbach von SO_Thal_064 und fliesst dann direkt dort hinein ohne eigenen Quellbach,keine,keine,keine,mittel,"Feinmaterial,Moospolster,Totholz,Pflanzen,Falllaub,Kalksinter",NEIN,naturnah,
SO_TH_0020,Mettlenmatt,Mettlenmatt 1,617540,244279,679,24/08/2022,Sickerquelle,klein,ganzjährig,1-10,Einzelquelle,2,[SO_Thal_003] Kartierung in sehr trockener Periode. daher führt Quelle wenig Wasser. Grosse Quelle am Hang. Quelle sollte ausgezäunt werden. Quelle versickert ohne Quellbach. Fauna: Grasfrosch,keine,keine,stark,unbeschattet,"Feinmaterial,Pflanzen,Org. Schlamm,Kalksinter",JA,geschaedigt,
SO_TH_0023,Haulenrain,Haulenrain 1,619234,241473,580,25/05/2022,Fliessquelle,mittel,ganzjährig,<1,Einzelquelle,1,[SO_Thal_005] Quelle mit Sickerbereich. Betonrohr. Fassung mit Gitterrost Wasser kommt von dort tritt aber dann natürlich aus. Quelle fliesst in Teich. Fauna: Köcherfliegen. Eintagsfliegen. Strudelwürmer,keine,keine,keine,nicht definiert,"Steine,Kies,Moospolster,Totholz,Pflanzen,Falllaub",JA,naturnah,
SO_TH_0026,Halfenberg,Halfenberg 1,621852,245105,993,24/08/2022,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,5,[SO_Thal_018] ein Austritt ca. 5m weiter westlich / Quelle von oberem Weg gut zugänglich.,keine,keine,keine,gering,"Steine,Kies,Sand,Moospolster,Totholz,Pflanzen,Falllaub,Kalksinter",unklar,naturnah,
SO_TH_0028,Egg. Holderbank,Egg 1,624470,243030,699,20/06/2022,Fliessquelle,klein,ganzjährig,1-10,Q-komplex,2,[SO_Thal_028] Revit: Einzäunen und Viehtränke verlegen.,keine,keine,stark,nicht definiert,"Fels,Steine,Kies,Sand,Feinmaterial,Totholz,Org. Schlamm,Kalksinter",JA,maessig_beeintraechtigt,
SO_TH_0261,Subigerberg,Subigerberg 3,599948,233468,928,11/05/2022,Fliessquelle,klein,ganzjährig,<1,,1,[SO_Thal_AAA] ev. Einzäunen,keine,keine,mässig,unbeschattet,"Kies,Sand,Pflanzen,Falllaub,Org. Schlamm",JA,bedingt_naturnah,
SO_TH_0262,Schattenberg,Schattenberg 6,609839,237171,492,25/05/2022,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,2,[SO_Thal_BBB] Quelle fliesst direkt in Bach. CL: keine Fotos gefunden,keine,keine,keine,nicht definiert,"Fels,Steine,Kies,Sand,Moospolster,Totholz,Falllaub",NEIN,naturnah,
SO_TH_0263,Schattenberg,Schattenberg 7,609853,237168,500,25/05/2022,Fliessquelle,klein,ganzjährig,1-10,,1,[SO_Thal_CCC] Köcherfliegenlarve. Quelle fliesst direkt in Bach.,keine,keine,keine,nicht definiert,"Fels,Steine,Kies,Totholz,Falllaub",NEIN,naturnah,
SO_TH_0264,Egg Holderbank,Egg 2,624400,243055,725,20/06/2022,künstlich,mittel,ganzjährig,1-10,Q-komplex,1,[SO_Thal_DDD] Wasser fliesst zuerst in Tränke und der Überlauf bildet dann Quellbach bildet schönen sumpfigen Hang mit entsprechender Vegetation.,Nur Rohr/Rinne,< 30% / unbekannt,stark,unbeschattet,"Steine,Kies,Feinmaterial,Pflanzen,Org. Schlamm",JA,geschaedigt,
SO_TH_0049,untere Tannmatt,untere Tannmatt,609492,239473,1109,07/05/2022,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,1,[SO_Thal_096] Steinfliegen,keine,keine,keine,mittel,"Fels,Feinmaterial,Wurzeln,Totholz,Falllaub",unklar,maessig_beeintraechtigt,
SO_TH_0189,Schwang,Schwangbach 1,609096,239881,1091,08/05/2022,Fliessquelle,klein,ganzjährig,<1,Q-komplex,2,[SO_Thal_137],keine,keine,keine,mittel,"Steine,Kies,Sand,Falllaub",unklar,naturnah,
SO_TH_0040,Schwang,Schwangbach 2,610107,240761,1170,08/05/2022,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,,[SO_Thal_203] CL: QS geschätzt,keine,keine,keine,mittel,"Feinmaterial,Moospolster,Wurzeln,Pflanzen,Falllaub,Org. Schlamm",unklar,naturnah,
SO_TH_0125,Rüchi,Wolfsbach,607869,238855,1025,08/05/2022,künstlich,klein,ganzjährig,<1,Einzelquelle,,[SO_Thal_225] CL: sieht aus wie Q gefasst ist und es eine Viehtränke hat. die vielen Sumpfdotterblumen lassen jedoch vermuten. dass noch ein (Quell?-)Bächli den Hang runter geht und so wie es aussieht ist nach Tränke ein Bächli vorhanden,Rohr und Becken,< 30% / unbekannt,gering,unbeschattet,"Kies,Sand,Feinmaterial",JA,geschaedigt,
SO_TH_0132,Schwang,Schwangbach 3,610051,240805,1163,11/06/2022,Fliessquelle,klein,temporär,<1,Einzelquelle,1,[SO_Thal_236].CL: QS geschätzt. Wollgras vorhanden,keine,keine,stark,mittel,"Fels,Steine,Kies,Sand,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub,Org. Schlamm",unklar,geschaedigt,
SO_BG_0001,Gisholen,SO_BG_0001,601687,218465,523,04/05/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Sandsteinhöhle alt. mit neuem Plastikrohr,Nur Rohr/Rinne,> 60%,keine,nicht definiert,"Totholz,Falllaub,Org. Schlamm",JA,maessig_beeintraechtigt,
SO_BG_0002,Rüttiboden,SO_BG_0002,601813,218617,553,23/05/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Höhle mit Rohr. Verrohrung unklar,keine,keine,keine,nicht definiert,"Feinmaterial,Falllaub,Org. Schlamm",JA,naturnah,
SO_BG_0003,Rüttiboden,SO_BG_0003,601871,218641,560,23/05/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Quellaustritt eventuell etwas höher gelegen. sehr steil,keine,keine,keine,nicht definiert,"Totholz,Falllaub,Org. Schlamm",unklar,naturnah,
SO_LB_0058,Gisholen,SO_LB_0150,601526,218423,522,05/05/2023,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,1,Temperatur im Quellbach gemessen. Bachflohkrebse,keine,keine,keine,nicht definiert,"Sand,Falllaub,Org. Schlamm",unklar,naturnah,
SO_BG_0146,Gisholen,SO_BG_0146,601653,218492,544,04/05/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Sandsteinhöhle alt. mit neuem Plastikrohr,Nur Rohr/Rinne,> 60%,keine,nicht definiert,"Falllaub,Org. Schlamm",JA,geschaedigt,
SO_BG_0147,Gisholen,SO_BG_0147,601615,218498,566,04/05/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Gefasste Quelle im Fels mit verschlosserner Tür,Nur Rohr/Rinne,> 60%,keine,nicht definiert,Org. Schlamm,JA,maessig_beeintraechtigt,
SO_BG_0148,Gisholen,SO_BG_0148,601608,218488,560,04/05/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Sandsteinhöhle mit Bretterverschlag und Rohr,Brunnenstube mit Überlauf,> 60%,keine,nicht definiert,Org. Schlamm,JA,geschaedigt,
SO_BG_0149,Gisholen,SO_BG_0149,601577,218440,565,04/05/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Aufstau vor Sandsteinhöhle,keine,keine,keine,nicht definiert,"Falllaub,Org. Schlamm",JA,maessig_beeintraechtigt,
SO_BG_0151,Gisholen,SO_BG_0151,601575,218418,538,05/05/2023,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,1,,keine,keine,keine,nicht definiert,"Sand,Falllaub,Org. Schlamm",unklar,naturnah,
SO_BG_0152,Gisholen,SO_BG_0152,601580,218457,549,05/05/2023,Sickerquelle,klein,periodisch,<1,Einzelquelle,1,In der Nähe eines rechteckigen Schachts. Zusammenhang unklar,keine,keine,keine,nicht definiert,"Falllaub,Org. Schlamm",unklar,naturnah,
SO_BG_0153,Rüttiboden,SO_BG_0153,601806,218615,553,23/05/2023,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,1,Sickerquelle. vernässte Bodenstelle,keine,keine,keine,nicht definiert,"Steine,Falllaub,Kalksinter",unklar,naturnah,
SO_BG_0154 ,Rüttiboden,SO_BG_0154 ,601849,218641,561,23/05/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Bachflohkrebs,keine,keine,keine,nicht definiert,"Kies,Sand,Totholz,Falllaub,Org. Schlamm",unklar,naturnah,
SO_BG_0128,Fröscherengraben West,SO_BG_0128,604002,219607,516,29/08/2023,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,1,Schachtelhalme. Brombeeren. Klufgerinne,keine,keine,keine,mittel,"Fels,Steine,Kies,Sand,Feinmaterial",unklar,naturnah,
SO_DO_0035,Suri Asp,SO_DO_0035,618033,253841,476,20/09/2023,Tümpelquelle,klein,periodisch,<1,Einzelquelle,1,Quelle schüttet nicht. schlammig. versickert nach paar Metern wieder und taucht wieder auf. wahrsch. drainiert für Landwirtschaft.,keine,keine,mässig,unbeschattet,"Steine,Kies,Org. Schlamm",JA,geschaedigt,
SO_DO_0056,Cholerhofbächli,SO_DO_0056,617430,255047,492,14/09/2023,Fliessquelle,mittel,ganzjährig,1-10,Einzelquelle,1,Quelle von einem kleinen Wald mit auenbäumen umrandet. am Rand einer Weide.,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,nicht definiert,"Steine,Kies,Sand,Feinmaterial",unklar,bedingt_naturnah,
SO_DO_0062,Einstelquelle / Rütibächli, SO_DO_0062,617707,253987,490,20/09/2023,Fliessquelle,gross,ganzjährig,1-10,Einzelquelle,1,Breiter Quellbereich. viel Gammarus. grosse Strömungsdiversität. Seggenriede am Quellufer. Sand- / Kiesbänke.,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,nicht definiert,"Steine,Kies,Sand,Feinmaterial,Totholz,Org. Schlamm",JA,maessig_beeintraechtigt,
SO_DO_0076,Widenbächli,SO_DO_0076,618077,253503,509,25/09/2023,Sickerquelle,klein,temporär,<1,Einzelquelle,1,Bach unterhalb der Quelle mit fast stehendem Wasser. Quelle selbst ist trocken. Quellbach verläuft teilweise in Graben / unterirdisch.,keine,< 30% / unbekannt,gering,mittel,"Fels,Steine,Pflanzen,Org. Schlamm",unklar,geschaedigt,
SO_DO_0082,Dugbach,SO_DO_0082,616406,255350,561,11/09/2023,Fliessquelle,mittel,ganzjährig,1-10,Einzelquelle,1,Grosse Tiefenvarianz. Quellbach überdeckt mit Kalksinter. Frösche in der Nähe. Schiessanlage unweit.,keine,keine,keine,mittel,"Fels,Sand,Totholz,Pflanzen,Falllaub,Kalksinter",unklar,naturnah,
SO_DO_0050,Ramstelbach,SO_DO_0050,614643,257992,436,07/09/2023,Fliessquelle,mittel,temporär,<1,Q-komplex,2,Erster Austritt von vermutetem Quellkomplex. Quelle trocken. verdolt und gefasst. Ursprüngliche Bachbette 0050 und 0037.,Brunnenstube mit Überlauf,> 60%,gering,nicht definiert,"Totholz,Pflanzen,Falllaub",unklar,geschaedigt,
SO_DO_0027,Orisbach,SO_DO_0027,619625,256175,387,16/10/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Frosch. Bachflohkrebs. Strudelwurm. Köcherfliege,keine,keine,keine,mittel,"Steine,Kies,Sand,Feinmaterial,Moospolster,Totholz,Falllaub,Org. Schlamm",unklar,naturnah,
SO_DO_0028,Orisbach,SO_DO_0028,619625,256180,387,16/10/2023,künstlich,klein,ganzjährig,1-10,Einzelquelle,1,Alte Fassung ggf. aufzuheben. Pot. Revitalisierungsobjekt,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,mittel,Fels,JA,geschaedigt,
SO_DO_0029,Orisbach,SO_DO_0029,619635,256206,386,16/10/2023,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,1,Hohe Schüttung. Verzweigung mit zweitem unterirdischen Arm. jedoch nur 1 Austritt. Köcherfliege. Frösche. Strudelwurm. Wasserschnecke (Pisidium). ,keine,keine,keine,gering,"Steine,Kies,Sand,Feinmaterial",unklar,naturnah,
SO_DO_0030,Weidbach,SO_DO_0030,618502,257290,509,04/09/2023,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,1,entspringt unterhalb der Strasse aus dem Fels. Möglicherweise Viehtränke weiter unten.,keine,keine,gering,gering,"Fels,Steine,Kies,Sand,Feinmaterial,Moospolster,Kalksinter",JA,bedingt_naturnah,
SO_DO_0048,Juchweg / Bintelbach,SO_DO_0048,618655,256226,476,14/09/2023,Fliessquelle,mittel,ganzjährig,1-10,Einzelquelle,1,Schöne. schützenswerte Quelle im Wald. Makrozoobenthos gesichtet (v.a. Köcherfliegenlarven).,keine,keine,keine,nicht definiert,"Fels,Steine,Kies,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub,Kalksinter",unklar,naturnah,
SO_SO_0053,Röselenbach,SO_DO_0053,617485,258964,592,05/09/2023,Wanderquelle,klein,temporär,<1,Einzelquelle,1,Standortfremde Vegetation. gerodet. wirkt beeinträchtigt,keine,< 30% / unbekannt,mässig,gering,"Fels,Kies,Sand,Feinmaterial,Moospolster,Org. Schlamm",unklar,maessig_beeintraechtigt,
SO_DO_0063,Weidbach,SO_DO_0063,618604,256960,503,05/09/2023,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,1,Quelle mit fast stehendem Wasser. oben verrohrt. Wäldli bei Quellmund. Wasserminze am Quellbach,keine,< 30% / unbekannt,keine,gering,"Steine,Sand,Org. Schlamm",unklar,geschaedigt,
SO_DO_0065,Brunnenbach,SO_DO_0065,618453,258416,526,04/09/2023,Fliessquelle,mittel,ganzjährig,1-10,Einzelquelle,1,Quelle überwuchert. weiter unten Baetis. Strudelwurm. Gammarus…,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,mittel,"Fels,Steine,Kies,Sand,Feinmaterial",unklar,maessig_beeintraechtigt,
SO_DO_0075,Riffengraben,SO_DO_0075,617779,258574,578,05/09/2023,Fliessquelle,mittel,ganzjährig,1-10,Einzelquelle,1,Wasserbrunnen. Fassung ca. 35m weiter südlich. speist den Brunnen. Ergiebige Quelle mit genug Restwasser.,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,mittel,"Steine,Kies,Sand,Feinmaterial,Totholz,Pflanzen,Org. Schlamm",unklar,maessig_beeintraechtigt,
SO_DO_0079,Brunnenbach (Neunuglar),SO_DO_0079,620269,257775,380,16/10/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Alte Quellfassung (Beton). Fraglich. ob diese noch verwendet wird. Bachflohkrebs.,Brunnenstube mit Überlauf,< 30% / unbekannt,mässig,nicht definiert,"Fels,Kies,Sand,Moospolster,Falllaub,Org. Schlamm",JA,maessig_beeintraechtigt,
SO_LB_0015,Winterhaldengraben,SO_LB_0015,609060,232190,586,30/08/2023,Fliessquelle,klein,temporär,<1,Einzelquelle,1,Quelle trockengefallen. einzelne Tümpel,keine,keine,keine,gering,"Moospolster,Totholz,Falllaub",unklar,maessig_beeintraechtigt,
SO_LB_0133,Winterhaldengraben,SO_LB_0133,609100,232302,568,30/08/2023,Fliessquelle,klein,temporär,<1,Einzelquelle,1,Quelle trockengefallen. einzelne Tümpel. möglicherweise alte Fassung weiter unten.,keine,keine,keine,mittel,"Fels,Steine,Kies,Feinmaterial,Totholz,Falllaub",unklar,bedingt_naturnah,
SO_BG_0037,Fröscherengraben West,SO_BG_0037,604071,219465,509,04/10/2023,Fliessquelle,klein,temporär,<1,Einzelquelle,1,Bachbett eng und trocken. Totholz/Blätter sowie Schlamm dominieren das Substrat. Bachbett teilweise überwachsen mit Moos usw.,keine,< 30% / unbekannt,keine,mittel,"Moospolster,Totholz,Pflanzen,Falllaub,Org. Schlamm",JA,maessig_beeintraechtigt,
SO_DO_0037,Ramstelbach,SO_DO_0037,614567,258058,430,07/09/2023,Fliessquelle,mittel,temporär,<1,Q-komplex,2,Zweiter Austritt von vermutetem Quellkomplex. Quelle verdolt und gefasst (weiter unten Fassungen und Dolen).,Brunnenstube mit Überlauf,> 60%,mässig,nicht definiert,"Totholz,Falllaub",unklar,maessig_beeintraechtigt,
SO_BG_0011,Tiefentalbach,SO_BG_0011,605767,222824,540,10/11/2023,künstlich,klein,ganzjährig,<1,Einzelquelle,1,Quelle verrohrt und gefasst: Von den Zementrohren (80cm Diameter) führt ein 15 m langes Kunststoffrohr (8cm Diam.). durch welches das Wasser fliesst. Bachbett breit und trocken.Totholz/Blätter sowie Blöcke und Kiesel dominieren das Substrat. ,Nur Rohr/Rinne,keine,keine,mittel,"Fels,Steine,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Org. Schlamm",JA,bedingt_naturnah,
SO_BG_0012,Talgraben,SO_BG_0012,604022,220165,600,10/11/2023,Fliessquelle,klein,temporär,<1,Einzelquelle,1,kein Wasser mehr. das Gebiet selbst ist vollig zugewachsen.,keine,keine,keine,mittel,"Moospolster,Pflanzen,Falllaub",JA,bedingt_naturnah,
SO_BG_0136,Fröscherengraben West,SO_BG_0136,604086,219738,531,04/10/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Mischwald. Abschnitt wurde ausgelichtet und alter Holzabfall auf Quelle.,keine,< 30% / unbekannt,mässig,mittel,"Steine,Wurzeln,Totholz,Pflanzen",JA,maessig_beeintraechtigt,
SO_DO_0018,Chöpfliweg (Witterswil),SO_DO_0018,606538,258802,455,03/10/2023,künstlich,klein,temporär,<1,Einzelquelle,1,Altes Quellbachbett. überwuchert. kein Abfluss seit längerem aufgrund Fassung: Brunnen am Weg mit Rohr und Brunnenbecken. ebenfalls ohne Abfluss,Rohr und Becken,< 30% / unbekannt,mässig,gering,"Fels,Steine,Kies,Sand",unklar,geschaedigt,
SO_DO_0081,Tiergartenbach,SO_DO_0081,615989,252528,611,16/10/2023,Fliessquelle,klein,periodisch,<1,Einzelquelle,1,Quellaustritt ggf. weiter oben. jedoch oberster Quellbereich stark überwuchert und undurchdringlich.,keine,keine,keine,mittel,"Kies,Sand,Moospolster,Falllaub,Org. Schlamm,Kalksinter",unklar,naturnah,
SO_DO_0088,Rodersdorfstrasse,SO_DO_0088,601872,257331,512,09/10/2023,künstlich,klein,ganzjährig,<1,Einzelquelle,1,Quellfassung am Wegrand. Weg auf privatem Grundstück. führt an der Quelle vorbei in eine Sackgasse. Kein eigentlicher Quellbach. Rinnsal als Überbleibsel.,Brunnenstube mit Überlauf,> 60%,gering,unbeschattet,"Wurzeln,Pflanzen",unklar,stark_geschaedigt,
SO_DO_0091,Bättental. Nachtweid- / Heulenquelle,SO_DO_0091,603226,256996,566,06/10/2023,Sickerquelle,mittel,temporär,<1,Q-system,2,Quelle direkt neben einem Weiher (Kantonales Naturschutzgebiet). Starke Trittschäden. flächige Austritte. Keine Schüttung. Quelljungfer (Weiher). Quelle in Vegas zwar als gefasst markiert. jedoch keine Fassung gefunden (möglicherweise entfernt),keine,keine,stark,unbeschattet,"Wurzeln,Pflanzen,Org. Schlamm",unklar,geschaedigt,
SO_DO_0092,Bättental. Nachtweid- / Heulenquelle,SO_DO_0092,603325,257044,562,06/10/2023,Sickerquelle,mittel,ganzjährig,<1,Einzelquelle,1,Quelle mit zwei Fassungen auf dem Feld. im Vegas vermerkt mit Dokument (GIS - Layer).,Brunnenstube mit Überlauf,> 60%,mässig,unbeschattet,"Wurzeln,Pflanzen,Org. Schlamm",unklar,geschaedigt,
SO_TH_0058,Dubbächli,SO_TH_0058,615942,244472,714,13/10/2023,Wanderquelle,klein,periodisch,<1,Einzelquelle,1,Offenlandquelle. teils eingedolt. Gebüsch am Quellbach. totes Wildschwein im Quellbach.,keine,< 30% / unbekannt,gering,gering,"Steine,Sand,Feinmaterial,Wurzeln,Pflanzen,Org. Schlamm",unklar,maessig_beeintraechtigt,
SO_TS_0021,Isenbach,SO_TS_0021,608869,251103,454,13/10/2023,Fliessquelle,klein,periodisch,<1,Einzelquelle,1,Kalksinter - Rheokrene. Schachtelhalme. Brombeeren.,keine,keine,keine,nicht definiert,"Kies,Sand,Moospolster,Totholz,Falllaub,Kalksinter",unklar,bedingt_naturnah,
SO_BG_0016,Lochbach,SO_BG_0016,600751,222570,562,27/11/2023,Fliessquelle,klein,temporär,<1,Einzelquelle,1,es gibt ein ausgeformtes Bachbett. aber kein Wasser.Hier und da liegen Totholz und Äste. der Boden ist mit Laub bedeckt.,keine,keine,keine,mittel,"Feinmaterial,Totholz,Falllaub,Org. Schlamm",JA,maessig_beeintraechtigt,
SO_BG_0018,Hasligraben,SO_BG_0018,603559,222035,540,27/11/2023,Sickerquelle,klein,temporär,<1,Einzelquelle,1,Die Quelle ist ausgetrocknet. überall sind Spuren der Beweidung sichtbar.Ein betonierter Bach fließt 50 m westlich.,keine,keine,keine,mittel,"Totholz,Pflanzen,Falllaub",unklar,geschaedigt,
SO_BG_0027,Winkelbodengraben,SO_BG_0027,600654,221602,550,27/11/2023,Wanderquelle,klein,temporär,<1,Q-system,1,kein Wasser ,keine,keine,keine,mittel,"Moospolster,Totholz,Pflanzen,Falllaub,Org. Schlamm",unklar,bedingt_naturnah,
SO_BG_0042,Niderholzgraben,SO_BG_0042,600764,220710,570,27/11/2023,künstlich,klein,ganzjährig,<1,Einzelquelle,1,Das Bachbett ist mit Laub und Totholz bedeckt. darunter sieht man das fließende Wasser. Am Austritt ist teilweise ein Rohr im Boden zu sehen (Herkunft unklar).,Nur Rohr/Rinne,< 30% / unbekannt,keine,mittel,"Fels,Steine,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub,Org. Schlamm",unklar,bedingt_naturnah,
SO_BG_0043,Fröscherengraben west,SO_BG_0043,604007,219540,540,27/11/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Die Quelle ist voll mit Schachtelhalm (man sieht aber das Wasser unter den Blättern und Pflanzen- ganz wenig). Der Schachtelhalm wurde teilweise gemäht. ,keine,keine,keine,mittel,"Feinmaterial,Totholz,Pflanzen,Falllaub",unklar,naturnah,
SO_LB_0035,Obermoos,SO_LB_0035,602544,231255,660,02/06/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,zerstört. überbaut ,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,gering,Fels,JA,stark_geschaedigt,
SO_LB_0050,Schützenmatt,SO_LB_0050,601600,229799,501,02/06/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Bachanfang. Schacht ,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,gering,Fels,JA,stark_geschaedigt,
SO_LB_0085,Schützenmatt,SO_LB_0085,601433,230607,650,02/06/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Schacht im Graben. verlegt zu Laufbrunnen,Rohr und Becken,> 60%,keine,mittel,Pflanzen,unklar,geschaedigt,
SO_LB_0123,Allmend,SO_LB_0123,601550,230900,700,02/06/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,Schacht im Wald. teils kaputt. Bachanfang Allmendbach,Brunnenstube mit Überlauf,30 - 59%,keine,nicht definiert,Wurzeln,JA,geschaedigt,
SO_LB_0014,Jungbann,SO_LB_0014,608446,232882,615,28/07/2023,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,,keine,keine,keine,nicht definiert,"Steine,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub,Org. Schlamm",unklar,naturnah,
SO_LB_0052,Schofbachgraben,SO_LB_0052,606036,234071,1230,05/04/2023,Sickerquelle,klein,ganzjährig,1-10,Einzelquelle,1,,keine,keine,mässig,gering,"Feinmaterial,Moospolster,Wurzeln,Pflanzen",JA,maessig_beeintraechtigt,
SO_LB_0075,Schofbachgraben,SO_LB_0075,606129,234016,1235,05/04/2023,Fliessquelle,klein,ganzjährig,<1,Q-komplex,3,Sickerquelle oberhalb Quellaustritt. Sickerquelle ist durch Viehtritt beieinträchtigt. die 2 Fliessquellaustritte nicht. ausserhalb Weidezaun.,keine,keine,mässig,mittel,"Kies,Feinmaterial,Moospolster,Pflanzen,Falllaub,Org. Schlamm",JA,bedingt_naturnah,
SO_LB_0096,Chrummrain,SO_LB_0096,607455,232183,600,05/06/2023,Fliessquelle,klein,periodisch,<1,Einzelquelle,1,sehr kleine Quelle,keine,keine,keine,nicht definiert,"Steine,Kies,Sand,Feinmaterial,Moospolster,Pflanzen,Falllaub,Org. Schlamm",NEIN,naturnah,
