ID_Quelle,Flurname,QuellenName,X_Koordinate_LV03,Y_Koordinate_LV03,Hoehe,Datum_CSV,Austrittsform,Quellgroesse,Schuettungsverhalten,Quellschuettung,Vernetzung,Austrittsanzahl,Bemerkungen,Fassung,Wasserentnahme,Trittschaeden,Sommerbeschattung,Substrate,RevitObjekt,Gesamtbewertung_CSV,BioErhebung_CSV
SO_TH_0191,Rinderweid,Talfluebächli,623095,242939,804,11/04/2022,Sickerquelle,mittel,periodisch,<1,Einzelquelle,1,[SO_Thal_135] Quelle Einzäunene; Quellbach auf der ganzen Länge (im Wald) trocken (ev. versckert Quelle vorher). Schüttung nur schwer messbar. Keine Wasserfauna. Bauliche Übereste.,keine,keine,stark,unbeschattet,"Feinmaterial,Pflanzen",JA,geschaedigt,
SO_TH_0249,Wannenhof SO,Wannenbächli,624050,243531,871,11/04/2022,künstlich,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_090] Renaturierungspotenzial. da Zaun defekt und ev nicht mehr in gebrauch. Frühere Nutzung als Zuleitung für Sammelbecken Schneekanonen und Brauchwasser. Quelle weiter oben als Bachanfang. Keine Wasserfauna.,Brunnenstube mit Überlauf,< 30% / unbekannt,gering,unbeschattet,Pflanzen,JA,geschaedigt,
SO_TH_0259,Bännli / Balsthaler Roggen,Roggenbächli 3  ,621062,240090,700,12/05/2022,Fliessquelle,mittel,ganzjährig,<1,Q-system,3,[SO_Thal_2072] Prächtige Kalktuffquelle im Wald mit Sinterbecken und hohen bemoosten Sinterstufen. Leere Schneckenhäuschen. viele offene Kirschensteine (Kleinsäugerspuren). Quellbach versickert. Zugang via altes Roggenwägli ab Bännliweg (sehr steil).,keine,keine,keine,nicht definiert,"Steine,Kies,Moospolster,Wurzeln,Totholz,Falllaub,Kalksinter",unklar,naturnah,
SO_TH_0142,Sagiweid,Sagiweid,614544,243995,710,20/09/2022,Fliessquelle,gross,ganzjährig,1-10,Q-komplex,5,[SO_Thal_210] mehrere zum Teil künstliche Austrittsformen. stark veränderter Zustand CL: temp stimmt nicht einfach angeg. Damit SP ausgefüllt ist,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,mittel,"Fels,Kies,Moospolster,Falllaub",JA,geschaedigt,
SO_TH_0228,Zälgli Allmend,Zelglibächli West ,605376,236041,735,30/08/2022,künstlich,gross,ganzjährig,<1,Einzelquelle,,[SO_Thal_056] Quelle gefasst für Brauchwasser. Neuer Deckel auf Fassung. Viehtränke. Überlauf = Bachanfang. Koord. von Fassung. Viele Bachflohkrebse.Datenblatt DB beachten.,Brunnenstube mit Überlauf,< 30% / unbekannt,stark,unbeschattet,"Fels,Steine,Kies,Sand,Wurzeln,Totholz,Pflanzen",JA,geschaedigt,
SO_TH_0087,Wasserschutz,Mülibach  oberer Seitenarm 3,605674,237042,753,26/09/2022,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,,[SO_Thal_069] Datenblatt beachten. Bereiche unter- und oberhalb Wasserschutzstrasse erfasst. Daten auf PK sind von unterhalb = Wasseraustritt.,keine,keine,keine,nicht definiert,"Kies,Feinmaterial,Moospolster,Wurzeln,Totholz,Org. Schlamm,Kalksinter",unklar,naturnah,15/05/2021
SO_TH_0219,Wirtshof Gänsbrunnen,Dünnern Bachanfang,602819,234631,755,16/08/2022,künstlich,klein,ganzjährig,<1,Einzelquelle,,[SO_TH_047] Quelle ist gefasst und eingedohlt. Beim Bachanfang Schnecken und Bachflohkrebse. Siehe Datenblatt. (CL: Q. QB & QBL ergänzt damit es MIDAT frisst),Rohr und Becken,< 30% / unbekannt,keine,unbeschattet,"Kies,Sand,Feinmaterial,Pflanzen",unklar,geschaedigt,
SO_TH_0115,Allmend,Talgraben,623335,242983,787,11/04/2022,künstlich,klein,ganzjährig,<1,Einzelquelle,2,[SO_Thal_039] Unterlauf 225 m eingedolt. 2er Quelleaustritt ca. 10 m unterhalb neben Viehtränke von gefasster Quelle . Mit Bretter abgedeckt. Keine Wasserfauna.,Brunnenstube mit Überlauf,> 60%,keine,gering,"Steine,Kies,Totholz,Pflanzen",JA,maessig_beeintraechtigt,
SO_TH_0095,Tufft,Chueweidgraben,622477,241008,768,17/04/2022,künstlich,klein,ganzjährig,1-10,Q-komplex,4,[SO_Thal_187] mitt. FG. Grösse. Bereich und QBLänge anhande der Fotos bestimmt--> folglich  Umfeld Brunnstube Wasserversorgung Balsthal-Holderbank.  Sehr komplexe Situation. sehr schwierige Erfassung und Zuordnung. Keine Wasserfauna. DB beachten.,Brunnenstube mit Überlauf,< 30% / unbekannt,keine,mittel,"Fels,Steine,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub,Kalksinter",unklar,bedingt_naturnah,
SO_TH_0065,Gunsch ungeri Schofmatt Welschenrohr,Chaltbach mittlerer Seitenarm von 202 ,604345,235018,745,27/05/2022,Sickerquelle,klein,ganzjährig,<1,Q-system,4,[SO_Thal_080] [CL:m.F.. Qgrösse. Wtemp. und Schüttung nach Fotos geschätzt]]Keine Messungen möglich. Austritte mehrere Vernässungen. Kein sichtbarer Wasserfluss. versumpfter Quellbach. Wilsausuhle. Datenblatt beachten.,keine,keine,keine,nicht definiert,"Fels,Steine,Kies,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",unklar,naturnah,
SO_TH_0114,Vorderer Beibelberg,Vorderer Beibelberg,617192,245102,931,22/09/2022,Fliessquelle,klein,temporär,>10,Einzelquelle,,[SO_Thal_042] Quelle. Quellbach ausgetrocknet,Nur Rohr/Rinne,keine,keine,unbeschattet,"Fels,Steine,Feinmaterial",unklar,maessig_beeintraechtigt,
SO_TH_0149,Gunsch   ungeri Schofmatt  Welschenrohr,Chaltbach - rechter Seitenarm von 202,604400,235026,745,27/05/2022,Sickerquelle,klein,ganzjährig,<1,Q-system,4,[SO_Thal_217] Keine Messungen möglich. Wasseraustritt ölige Oberfläche. Kein sichtbarer Wasserfluss. einige Wasserstellen. Wildsausuhlen. Datenblatt beachten. (CL: Qgrösse. Temp und Schüttung geschätzt ),keine,keine,keine,gering,"Fels,Steine,Kies,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",unklar,naturnah,
SO_TH_0043,Gunsch,Gunsch 01,604053,234846,767,22/05/2022,Sickerquelle,gross,ganzjährig,<1,Q-komplex,5,[SO_Thal_202] Grosses Vernässungsgebiet. viele Wasseraustritte. Viel Totholz im Bach und viel Buschwerk. Jagdeinrichtung mit Futterstelle,keine,keine,keine,mittel,"Moospolster,Totholz,Pflanzen,Falllaub",NEIN,bedingt_naturnah,
SO_TH_0071,Chueweid Hächler,Chaltbach 02,604422,235296,730,27/05/2022,künstlich,klein,ganzjährig,<1,Q-system,1,[SO_Thal_088] Drainage und Fassung. Wenig Wasser.,Brunnenstube mit Überlauf,keine,keine,mittel,"Steine,Kies,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",NEIN,geschaedigt,
SO_TH_0103,Malsenberg   Gänsbrunnen,Harzergraben,605024,237419,1020,10/07/2022,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_035] Massenhaft Bachflohkrebse und Grasfrosch; oberhalb bei 605024/237419 Viehtänke mit Überlauf (ev. ein Teil des Wassers von dort); Einzäunen,keine,keine,stark,gering,"Fels,Steine,Kies,Feinmaterial,Wurzeln,Totholz",JA,geschaedigt,
SO_TH_0135,Obere Wis,Wisbach  Ostarm,624596,242184,755,14/04/2022,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,,[SO_Thal_215] Kieselsteine im Quellsumpf. Quellbereich sollte umzäunt werden. Viehtränke in der Nähe. Quellbach nach 6 m künstlich verbaut bis Unterquerung Fahrstrasse. Keine Wasserfauna. DB beachten.,keine,keine,stark,unbeschattet,"Fels,Steine,Kies,Totholz,Pflanzen,Org. Schlamm",unklar,stark_geschaedigt,
SO_TH_0178,Sollmatt,Rötibach,608137,236347,707,29/04/2022,Fliessquelle,mittel,ganzjährig,>10,Q-system,3,[SO_Thal_150] Prachtsquelle! Schüttung von Hauptaustritt nur schätzbar. Köcherfliegenlarve. Zugang zu Quellen und oberer Quellbach sollte für vorgesehene Wisentweide (Schau- Auswilderungsgehege) gesperrt werden.,keine,keine,keine,mittel,"Fels,Steine,Kies,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",NEIN,naturnah,
SO_TH_0229,Chueweid Hächler,Chaltbach  01,604593,235481,720,27/05/2022,künstlich,klein,ganzjährig,<1,Q-system,3,[SO_Thal_053] Oberhalb Wasseraustritt insges. 4 Schächte von Drainage. Revitalisierung: Aball entfernen (Aufklären),Nur Rohr/Rinne,keine,keine,mittel,"Steine,Kies,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",JA,maessig_beeintraechtigt,
SO_TH_0225,obere Schofmatt  Gänsbrunnen,Chäppelibächli,603345,234790,775,16/08/2022,künstlich,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_057] Quelle gefasst => Wasser. welches austritt ev. Restwasser von Fassung (unklar ob noch Quellcharakter vorhanden => laut Bilder ev. schon),Nur Rohr/Rinne,< 30% / unbekannt,stark,gering,"Fels,Steine,Kies,Wurzeln,Totholz,Pflanzen",JA,geschaedigt,
SO_TH_0051,Hälfenbergflue,Hälfenbergflue,622403,244848,902,18/09/2022,Sickerquelle,mittel,temporär,<1,Einzelquelle,1,[SO_Thal_094]. CL: Q. QBLänge. Temp und Schüttung geschätzt anhande der Fotos,keine,keine,keine,mittel,"Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",unklar,naturnah,
SO_TH_0067,Chuematt,Chuematt 2,609508,238886,1038,29/07/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_078] Frösche (CL: evt. stimmen Fotos von quellaustritt nicht. da fotos wie ID SO_TH_0217 aussehen) ,keine,keine,keine,mittel,"Steine,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub,Org. Schlamm",unklar,bedingt_naturnah,
SO_TH_0180,Schwänglenweid,Schwänglenweid 1,621628,245564,945,06/08/2022,Sickerquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_132]. CL: auf Fotos ist ein Rohr zu sehen. Drainagepläne hier nicht vorhanden,Nur Rohr/Rinne,< 30% / unbekannt,keine,nicht definiert,"Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",unklar,maessig_beeintraechtigt,
SO_TH_0147,Blachen,Blachen,621634,246403,966,06/08/2022,künstlich,gross,periodisch,>10,Einzelquelle,,[SO_Thal_219],Rohr und Becken,> 60%,stark,mittel,Pflanzen,JA,geschaedigt,
SO_TH_0200,Schlossweidli,Schlossweidli 2,622837,244063,870,18/09/2022,künstlich,gross,ganzjährig,>10,,,[SO_Thal_112],Rohr und Becken,> 60%,stark,gering,Steine,JA,geschaedigt,
SO_TH_0202,Tannmattchopf,Tannmattchopf,609060,239254,1077,18/09/2022,künstlich,gross,,>10,Einzelquelle,,[SO_Thal_110],Rohr und Becken,> 60%,stark,gering,Steine,JA,geschaedigt,
SO_TH_0217,Chuematt,Chuematt 1,608911,238219,977,29/07/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_049],keine,keine,keine,nicht definiert,"Fels,Steine,Moospolster,Wurzeln,Totholz,Falllaub,Org. Schlamm",unklar,naturnah,
SO_TH_0269,Brocheten,Brochetengraben,612265,241916,1040,01/10/2022,Fliessquelle,klein,ganzjährig,<1,Q-system,3,[SO_Thal_103] Sickerquellen [mFG und Qschüttung durch CL anhande der Fotos ergänzt),keine,keine,keine,nicht definiert,"Sand,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen,Falllaub",unklar,naturnah,
SO_TH_0155,Lobisey,Ramiswilerbach,620355,242390,553,03/10/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,5,[SO_Thal_171] Sickerquelle / Fliessquelle stark fliessend,keine,keine,gering,mittel,"Steine,Kies,Sand,Feinmaterial,Moospolster,Totholz,Pflanzen",unklar,bedingt_naturnah,
SO_TH_0099,oberer Rüti,Rütilochbach,615224,243152,909,23/09/2022,künstlich,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_183] Sickerquelle,Rohr und Becken,keine,mässig,mittel,"Kies,Sand,Feinmaterial,Moospolster,Pflanzen,Falllaub",unklar,maessig_beeintraechtigt,
SO_TH_0042,Bremgarten,Stampfenbach,617216,242603,881,25/09/2022,Sickerquelle,gross,periodisch,<1,Einzelquelle,1,[SO_Thal_201] Sickerquelle / 80m bis Quellbach ID 201,keine,keine,gering,mittel,"Steine,Feinmaterial,Moospolster,Totholz,Pflanzen",unklar,bedingt_naturnah,
SO_TH_0041,Rägenrain,Ramiswilerbach Seitenast,620368,243040,571,03/10/2022,Fliessquelle,klein,ganzjährig,1-10,Einzelquelle,1,[SO_Thal_204] CL: distanz zur Nachbarquelle geschätzt,Brunnenstube mit Überlauf,keine,keine,gering,"Fels,Steine,Kies,Feinmaterial,Moospolster,Wurzeln,Totholz,Pflanzen",unklar,maessig_beeintraechtigt,
SO_TH_0137,Brocheten,Brochetengraben,612154,242447,954,20/09/2022,Fliessquelle,klein,ganzjährig,<1,Einzelquelle,1,[SO_Thal_213] sinter,keine,keine,keine,nicht definiert,"Fels,Steine,Kies,Sand,Feinmaterial,Pflanzen,Kalksinter",unklar,naturnah,
